remember,understand,apply,analyze,evaluate,creating
Choose,Classify,Apply,Analyze,Agree,Abstract
Define,Compare,Build,Assume,Appraise,Adapt
Find,Contrast,Choose,Categorize,Assess,Animate
How,Demonstrate,Construct,Classify,Award,Build
Label,Interpret,Develop,Compare,Choose,Change
List,Exemplify,Experiment with,Conclusion,Compare,Choose
Match,Explain,Identify,Contrast,Conclude,Combine
Name,Extend,Make use of,Discover,Criteria,Compile
Omit,Infer,Model,Dissect,Criticize,Compose
Recall,Outline,Organize,Distinguish,Decide,Construct
Relate,Relate,Plan,Divide,Deduct,Create
Select,Rephrase,Select,Examine,Defend,Delete
Show,Show,Solve,Function,Determine,Design
Spell,Summarize,Utilize,Inference,Disprove,Develop
Tell,clarrify,Execute,Inspect,Estimate,Discuss
What,taraphrase,implement,List,Evaluate,Elaborate
When,represent,use,Motive,Explain,Estimate
Where,translate,carrying out,Relationships,Importance,Formulate
Which,illustrate,,Simplify,Influence,Happen
Who,instantiate,,Survey,Interpret,Imagine
Why,categorize,,Take part in,Judge,Improve
Identify,subsume,,Test for,Justify,Invent
Recognize,abstract,,Theme,Mark,Make up
Retriew,generalize,,differentiate,Measure,Maximize
,conclude,,organize,Opinion,Minimize
,extrapolate,,attribute,Perceive,Modify
,interpolate,,discrimination,Prioritize,Original
,predict,,distingush,Prove,Originate
,map,,focus,Rate,Plan
,match,,select,Recommend,Predict
,models,,find,Rule on,Propose
,construct,,coherence,Select,Solution
,,,integrate,Support,Solve
,,,outline,Value,Suppose
,,,parse,Checking,Test
,,,struct,critique,Theory
,,,deconstruct,cordinate,Arrange
,,,,detect,Assemble
,,,,monitor,Budget
,,,,test,Categorize
,,,,,Code   
,,,,,Cope   
,,,,,Correspond
,,,,,Cultivate
,,,,,Debug
,,,,,Dictate  
,,,,,Enhance
,,,,,Explain
,,,,,Facilitate
,,,,,Format
,,,,,Generalize
,,,,,Generate
,,,,,Handle
,,,,,Import
,,,,,Incorporate   
,,,,,Integrate
,,,,,Interface
,,,,,Join
,,,,,Model
,,,,,Organize
,,,,,Outline   
,,,,,Prepare
,,,,,Prescribe 
,,,,,Produce
,,,,,Program
,,,,,Rearrange
,,,,,Reconstruct
,,,,,Relate
,,,,,Reorganize
,,,,,Revise
,,,,,Rewrite
,,,,,Specify
,,,,,Summarize
,,,,,hypeothesize
